product_id,product_name,category,price,colors,sizes,question,answer
CLT001,Premium Egyptian Cotton Oxford Shirt,shirts,699.99,"White, Light Blue, Pink, Light Grey, Powder Blue","S, M, L, XL, XXL",What is the ID of the Premium Egyptian Cotton Oxford Shirt?,CLT001
CLT001,Premium Egyptian Cotton Oxford Shirt,shirts,699.99,"White, Light Blue, Pink, Light Grey, Powder Blue","S, M, L, XL, XXL",How much does the Oxford shirt cost?,699.99
CLT001,Premium Egyptian Cotton Oxford Shirt,shirts,699.99,"White, Light Blue, Pink, Light Grey, Powder Blue","S, M, L, XL, XXL",In which category can I find the Oxford shirt?,shirts
CLT001,Premium Egyptian Cotton Oxford Shirt,shirts,699.99,"White, Light Blue, Pink, Light Grey, Powder Blue","S, M, L, XL, XXL",What colors and sizes are available for this shirt?,"This shirt is available in White, Light Blue, Pink, Light Grey, and Powder Blue. Sizes include S, M, L, XL, and XXL."
CLT001,Premium Egyptian Cotton Oxford Shirt,shirts,699.99,"White, Light Blue, Pink, Light Grey, Powder Blue","S, M, L, XL, XXL",Are there any discounts or promotions for this shirt?,"No, there are no discounts for this product. The original price is 699.99."
CLT002,Stretch Denim High-Rise Jeans,jeans,899.99,"Dark Blue, Mid Blue, Light Wash, Black","24, 26, 28, 30, 32, 34",What is the ID of the Stretch Denim High-Rise Jeans?,CLT002
CLT002,Stretch Denim High-Rise Jeans,jeans,899.99,"Dark Blue, Mid Blue, Light Wash, Black","24, 26, 28, 30, 32, 34",How much do the Mid Blue Stretch Denim High-Rise Jeans cost in size 30?,899.99
CLT002,Stretch Denim High-Rise Jeans,jeans,899.99,"Dark Blue, Mid Blue, Light Wash, Black","24, 26, 28, 30, 32, 34",What colors are available for the high-rise jeans made of stretch denim?,"Dark Blue, Mid Blue, Light Wash, Black"
CLT002,Stretch Denim High-Rise Jeans,jeans,899.99,"Dark Blue, Mid Blue, Light Wash, Black","24, 26, 28, 30, 32, 34",What sizes can I purchase the Stretch Denim High-Rise Jeans in?,"24, 26, 28, 30, 32, 34"
CLT002,Stretch Denim High-Rise Jeans,jeans,899.99,"Dark Blue, Mid Blue, Light Wash, Black","24, 26, 28, 30, 32, 34",Are there any current discounts on the Stretch Denim High-Rise Jeans?,"No, there are no current discounts on this product."
CLT003,Quilted Winter Puffer Jacket,jackets,1799.99,"Black, Navy, Forest Green, Burgundy","XS, S, M, L, XL",What is the ID of the Quilted Winter Puffer Jacket?,CLT003
CLT003,Quilted Winter Puffer Jacket,jackets,1799.99,"Black, Navy, Forest Green, Burgundy","XS, S, M, L, XL",How much does the navy-colored puffer jacket cost?,1799.99
CLT003,Quilted Winter Puffer Jacket,jackets,1799.99,"Black, Navy, Forest Green, Burgundy","XS, S, M, L, XL",In which categories can I find the puffer jacket?,jackets
CLT003,Quilted Winter Puffer Jacket,jackets,1799.99,"Black, Navy, Forest Green, Burgundy","XS, S, M, L, XL",What sizes and colors are available for the quilted winter jacket?,"This jacket is available in sizes XS, S, M, L, XL and colors Black, Navy, Forest Green, Burgundy."
CLT003,Quilted Winter Puffer Jacket,jackets,1799.99,"Black, Navy, Forest Green, Burgundy","XS, S, M, L, XL",Is there any discount on the puffer jacket?,"Yes, there is a 15% discount."
CLT004,Merino Wool Turtleneck Sweater,knitwear,1299.99,"Cream, Black, Grey Melange, Camel","XS, S, M, L, XL",What is the ID of the Merino Wool Turtleneck Sweater?,CLT004
CLT004,Merino Wool Turtleneck Sweater,knitwear,1299.99,"Cream, Black, Grey Melange, Camel","XS, S, M, L, XL",How much does the turtleneck sweater cost?,1299.99
CLT004,Merino Wool Turtleneck Sweater,knitwear,1299.99,"Cream, Black, Grey Melange, Camel","XS, S, M, L, XL",In which category can I find the Merino Wool Turtleneck Sweater?,knitwear
CLT004,Merino Wool Turtleneck Sweater,knitwear,1299.99,"Cream, Black, Grey Melange, Camel","XS, S, M, L, XL",What colors are available for this Merino Wool Turtleneck Sweater?,"Cream, Black, Grey Melange, Camel"
CLT004,Merino Wool Turtleneck Sweater,knitwear,1299.99,"Cream, Black, Grey Melange, Camel","XS, S, M, L, XL",What sizes does the Merino Wool Turtleneck Sweater come in?,"XS, S, M, L, XL"
CLT005,Pleated Midi Skirt,skirts,899.99,"Black, Navy, Champagne, Forest Green","XS, S, M, L, XL",What is the ID of the pleated midi skirt?,CLT005
CLT005,Pleated Midi Skirt,skirts,899.99,"Black, Navy, Champagne, Forest Green","XS, S, M, L, XL",How much does the pleated midi skirt cost?,899.99
CLT005,Pleated Midi Skirt,skirts,899.99,"Black, Navy, Champagne, Forest Green","XS, S, M, L, XL",In which category can I find the pleated midi skirt?,skirts
CLT005,Pleated Midi Skirt,skirts,899.99,"Black, Navy, Champagne, Forest Green","XS, S, M, L, XL",What colors are available for the pleated midi skirt?,"Black, Navy, Champagne, Forest Green"
