Query,Expected_Answer,Category,Found_In_Results,Position_If_Found,Product_ID,Product_Name,Question_Type
What is the ID of the Premium Egyptian Cotton Oxford Shirt?,CLT001,shirts,True,1.0,CLT001,Premium Egyptian Cotton Oxford Shirt,ID Question
How much does the Oxford shirt cost?,699.99,shirts,True,1.0,CLT001,Premium Egyptian Cotton Oxford Shirt,Price Question
In which category can I find the Oxford shirt?,shirts,shirts,False,,CLT001,Premium Egyptian Cotton Oxford Shirt,Other
What colors and sizes are available for this shirt?,"This shirt is available in White, Light Blue, Pink, Light Grey, and Powder Blue. Sizes include S, M, L, XL, and XXL.",shirts,False,,CLT001,Premium Egyptian Cotton Oxford Shirt,Other
Are there any discounts or promotions for this shirt?,"No, there are no discounts for this product. The original price is 699.99.",shirts,False,,CLT001,Premium Egyptian Cotton Oxford Shirt,Other
What is the ID of the Stretch Denim High-Rise Jeans?,CLT002,jeans,True,1.0,CLT002,Stretch Denim High-Rise Jeans,ID Question
How much do the Mid Blue Stretch Denim High-Rise Jeans cost in size 30?,899.99,jeans,True,1.0,CLT002,Stretch Denim High-Rise Jeans,Price Question
What colors are available for the high-rise jeans made of stretch denim?,"Dark Blue, Mid Blue, Light Wash, Black",jeans,False,,CLT002,Stretch Denim High-Rise Jeans,Other
What sizes can I purchase the Stretch Denim High-Rise Jeans in?,"24, 26, 28, 30, 32, 34",jeans,False,,CLT002,Stretch Denim High-Rise Jeans,Other
Are there any current discounts on the Stretch Denim High-Rise Jeans?,"No, there are no current discounts on this product.",jeans,False,,CLT002,Stretch Denim High-Rise Jeans,Other
What is the ID of the Quilted Winter Puffer Jacket?,CLT003,jackets,True,1.0,CLT003,Quilted Winter Puffer Jacket,ID Question
How much does the navy-colored puffer jacket cost?,1799.99,jackets,True,1.0,CLT003,Quilted Winter Puffer Jacket,Price Question
In which categories can I find the puffer jacket?,jackets,jackets,False,,CLT003,Quilted Winter Puffer Jacket,Other
What sizes and colors are available for the quilted winter jacket?,"This jacket is available in sizes XS, S, M, L, XL and colors Black, Navy, Forest Green, Burgundy.",jackets,False,,CLT003,Quilted Winter Puffer Jacket,Other
Is there any discount on the puffer jacket?,"Yes, there is a 15% discount.",jackets,False,,CLT003,Quilted Winter Puffer Jacket,Other
What is the ID of the Merino Wool Turtleneck Sweater?,CLT004,knitwear,True,1.0,CLT004,Merino Wool Turtleneck Sweater,ID Question
How much does the turtleneck sweater cost?,1299.99,knitwear,True,1.0,CLT004,Merino Wool Turtleneck Sweater,Price Question
In which category can I find the Merino Wool Turtleneck Sweater?,knitwear,knitwear,False,,CLT004,Merino Wool Turtleneck Sweater,Other
What colors are available for this Merino Wool Turtleneck Sweater?,"Cream, Black, Grey Melange, Camel",knitwear,False,,CLT004,Merino Wool Turtleneck Sweater,Other
What sizes does the Merino Wool Turtleneck Sweater come in?,"XS, S, M, L, XL",knitwear,False,,CLT004,Merino Wool Turtleneck Sweater,Other
What is the ID of the pleated midi skirt?,CLT005,skirts,True,1.0,CLT005,Pleated Midi Skirt,ID Question
How much does the pleated midi skirt cost?,899.99,skirts,True,1.0,CLT005,Pleated Midi Skirt,Price Question
In which category can I find the pleated midi skirt?,skirts,skirts,False,,CLT005,Pleated Midi Skirt,Other
What colors are available for the pleated midi skirt?,"Black, Navy, Champagne, Forest Green",skirts,False,,CLT005,Pleated Midi Skirt,Other
